No. of LEDs    Prefix
453            41 64 61 01 c4 90
454            41 64 61 01 c5 91
455            41 64 61 01 c6 92
456            41 64 61 01 c7 93
457            41 64 61 01 c8 9c
458            41 64 61 01 c9 9d
459            41 64 61 01 ca 9e
460            41 64 61 01 cb 9f
461            41 64 61 01 cc 98
462            41 64 61 01 cd 99
463            41 64 61 01 ce 9a
464            41 64 61 01 cf 9b
465            41 64 61 01 d0 84
466            41 64 61 01 d1 85
467            41 64 61 01 d2 86
468            41 64 61 01 d3 87
469            41 64 61 01 d4 80
470            41 64 61 01 d5 81
471            41 64 61 01 d6 82
472            41 64 61 01 d7 83
473            41 64 61 01 d8 8c
474            41 64 61 01 d9 8d
475            41 64 61 01 da 8e
476            41 64 61 01 db 8f
477            41 64 61 01 dc 88
478            41 64 61 01 dd 89
479            41 64 61 01 de 8a
480            41 64 61 01 df 8b
481            41 64 61 01 e0 b4
482            41 64 61 01 e1 b5
483            41 64 61 01 e2 b6
484            41 64 61 01 e3 b7
485            41 64 61 01 e4 b0
486            41 64 61 01 e5 b1
487            41 64 61 01 e6 b2
488            41 64 61 01 e7 b3
489            41 64 61 01 e8 bc
490            41 64 61 01 e9 bd
491            41 64 61 01 ea be
492            41 64 61 01 eb bf
493            41 64 61 01 ec b8
494            41 64 61 01 ed b9
495            41 64 61 01 ee ba
496            41 64 61 01 ef bb
497            41 64 61 01 f0 a4
498            41 64 61 01 f1 a5
499            41 64 61 01 f2 a6
500            41 64 61 01 f3 a7
501            41 64 61 01 f4 a0
502            41 64 61 01 f5 a1
503            41 64 61 01 f6 a2
504            41 64 61 01 f7 a3
505            41 64 61 01 f8 ac
506            41 64 61 01 f9 ad
507            41 64 61 01 fa ae
508            41 64 61 01 fb af
509            41 64 61 01 fc a8
510            41 64 61 01 fd a9
511            41 64 61 01 fe aa
512            41 64 61 01 ff ab
513            41 64 61 02 00 57
514            41 64 61 02 01 56
515            41 64 61 02 02 55
516            41 64 61 02 03 54
517            41 64 61 02 04 53
518            41 64 61 02 05 52
519            41 64 61 02 06 51
520            41 64 61 02 07 50
521            41 64 61 02 08 5f
522            41 64 61 02 09 5e
523            41 64 61 02 0a 5d
524            41 64 61 02 0b 5c
525            41 64 61 02 0c 5b
526            41 64 61 02 0d 5a
527            41 64 61 02 0e 59
528            41 64 61 02 0f 58
529            41 64 61 02 10 47
530            41 64 61 02 11 46
531            41 64 61 02 12 45
532            41 64 61 02 13 44
533            41 64 61 02 14 43
534            41 64 61 02 15 42
535            41 64 61 02 16 41
536            41 64 61 02 17 40
537            41 64 61 02 18 4f
538            41 64 61 02 19 4e
539            41 64 61 02 1a 4d
540            41 64 61 02 1b 4c
541            41 64 61 02 1c 4b
542            41 64 61 02 1d 4a
543            41 64 61 02 1e 49
544            41 64 61 02 1f 48
545            41 64 61 02 20 77
546            41 64 61 02 21 76
547            41 64 61 02 22 75
548            41 64 61 02 23 74
549            41 64 61 02 24 73
550            41 64 61 02 25 72
551            41 64 61 02 26 71
552            41 64 61 02 27 70
553            41 64 61 02 28 7f
554            41 64 61 02 29 7e
555            41 64 61 02 2a 7d
556            41 64 61 02 2b 7c
557            41 64 61 02 2c 7b
558            41 64 61 02 2d 7a
559            41 64 61 02 2e 79
560            41 64 61 02 2f 78
561            41 64 61 02 30 67
562            41 64 61 02 31 66
563            41 64 61 02 32 65
564            41 64 61 02 33 64
565            41 64 61 02 34 63
566            41 64 61 02 35 62
567            41 64 61 02 36 61
568            41 64 61 02 37 60
569            41 64 61 02 38 6f
570            41 64 61 02 39 6e
571            41 64 61 02 3a 6d
572            41 64 61 02 3b 6c
573            41 64 61 02 3c 6b
574            41 64 61 02 3d 6a
575            41 64 61 02 3e 69
576            41 64 61 02 3f 68
577            41 64 61 02 40 17
578            41 64 61 02 41 16
579            41 64 61 02 42 15
580            41 64 61 02 43 14
581            41 64 61 02 44 13
582            41 64 61 02 45 12
583            41 64 61 02 46 11
584            41 64 61 02 47 10
585            41 64 61 02 48 1f
586            41 64 61 02 49 1e
587            41 64 61 02 4a 1d
588            41 64 61 02 4b 1c
589            41 64 61 02 4c 1b
590            41 64 61 02 4d 1a
591            41 64 61 02 4e 19
592            41 64 61 02 4f 18
593            41 64 61 02 50 07
594            41 64 61 02 51 06
595            41 64 61 02 52 05
596            41 64 61 02 53 04
597            41 64 61 02 54 03
598            41 64 61 02 55 02
599            41 64 61 02 56 01
600            41 64 61 02 57 00
